ID|Data_Quality|UFP|Year|IS|OT|AG|AT|DT|DP|LT|PPL|CA|FS|RS|N_effort_level1|N_effort|S_effort|N_PDR1|N_PDR|SDR|PET|PIT|I_Date|PAS|E_Plan|E_Specify|E_Design|E_Build|E_Test|E_Implement|E_Unrecorded|Recording_Method|Resource_Level|TSG|MTS|ATS|R_PWE_NPA|CASE_Tool|UM|HMA|Hardware1|Language1|OS1|IDE|DT1|DBS1|CS1|WS1|MS1|OP1|Dev_Methodologies|Dev_Techniques|JAD_Method|PMU|FPS|FPSA|Architecture|Client_Server?|Client_Roles|Server_Roles|TOS|CS_Description|DBMS_Used|Upper_CASE_Used|Other_CASE_Tools?|Other_CASE_Tool_Names|MIN_Defects|MAJ_Defects|X_Defects|TOT_Defects|P_Defects|S_Defects|D_Defects|MIN_B_Defects|MAJ_B_Defects|X_B_Defects|TOT_B_Defects|MIN_T_Defects|MAJ_T_Defects|X_T_Defects|TOT_T_Defects|MIN_I_Defects|MAJ_I_Defects|X_I_Defects|TOT_I_Defects
28129|B|NA|2008|Financial|'Financial, Property & Business Services'|'Business Application'|'Customer billing/relationship management'|Re-development|PC|3GL|C#|COSMIC|912|M2|6590|6590|6590|25.9|25.9|5.3|6|NA|01-Oct-2005|NA|NA|NA|NA|NA|NA|NA|6590|NA|1|5-8|8|NA|NA|NA|NA|NA|NA|C++|TRU64|NA|ladebug|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29311|A|NA|2008|Government|Government|'Business Application'|'Catalogue/register of things or events'|'New Development'|Multi|3GL|Java|COSMIC|643|M2|3800|4224|4224|21.5|23.9|3.7|8|2|01-Aug-2003|NA|NA|NA|NA|NA|NA|NA|3800|'Recorded hours on each project/day/week'|4|5-8|6|2.5|NA|No|Yes|'Developed In-house'|NA|Java|'Windows 2000'|NA|No|Oracle|WEBLOGIC|'IE, NN'|No|'Report Engine'|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Business logic or rule processingData retrieval & presentation'|'Database serverObject/component server'|NA|NA|Yes|No|No|NA|NA|NA|NA|0|NA|NA|0|NA|NA|NA|30|NA|NA|NA|30|NA|NA|NA|30
29331|B|NA|2008|Government|Government|'Business Application'|'Logistic tracking'|'New Development'|Multi|3GL|Java|COSMIC|210|M1|204|204|145|1.5|1.5|NA|11|0|24-Jun-1905|Build_Test_Implement|NA|NA|NA|NA|NA|NA|145|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|AIXPC|C++Java|'UNIXWindows NT'|NA|NA|Oracle|NA|NA|NA|NA|NA|NA|NA|NA|COSMIC|COSMIC|Multi-tier|Yes|NA|NA|NA|NA|Yes|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|14|42|2|58|NA|NA|NA|NA
29471|A|NA|2008|Government|Government|'Business Application'|'Document managementManagement or performance reporting'|'New Development'|Multi|3GL|Java|COSMIC|61|S|669|669|669|4.7|4.7|9.5|3|NA|10-Apr-2009|Planning_Specification_Design_Build_Test_Implement_ProjManagement|120|22|100|254|58|115|0|'Recorded work on project tasks each day'|1|5-8|5|3.7|NA|NA|Yes|'Developed In-house'|NA|Java|Linux|Eclipse|Eclipse|MySQL|NA|'Apache Tomcat 5.5'|NA|'In House Framework (written in Java)JSP'|'Agile DevelopmentPersonal Software Process (PSP)Unified Process'|NA|NA|NA|'COSMIC 2'|'COSMIC 2'|'Multi-tier with web public interface'|Yes|'Web/HTML browser'|Security/authentication|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29834|A|NA|2008|Insurance|Insurance|'Business Application'|'Printing Documentation Design'|Enhancement|MF|3GL|COBOL|COSMIC|5|XXS|2410|2410|2410|16.7|16.7|4|9|0|10-Jun-2008|Planning_Specification_Design_Build_Test_Implement|NA|NA|NA|NA|NA|NA|2410|'Recorded hours on each project/day/week'|1|3-4|4|1.3|'97\%'|No|Yes|'Developed In-house'|NA|'Owner script'|'Windows Server 2K3'|No|No|'SQL Server'|No|No|No|NA|NA|Prototyping|NA|Yes|'COSMIC 3'|'COSMIC 3'|'Client server'|Yes|'Run a computer-human interfaceData retrieval & presentation'|'Database serverObject/component server'|NA|NA|Yes|No|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29893|B|NA|2008|Insurance|Insurance|'Business Application'|'Online analysis and reporting'|Enhancement|MF|3GL|COBOL|COSMIC|6|XXS|3915|3915|3563|48.3|48.3|NA|19.3|NA|04-Oct-2005|NA|NA|207|566|1353|566|871|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31333|B|NA|2008|'Medical & Health Care'|'Medical and Health Care'|'Business Application'|'Hospital Information System'|Enhancement|PC|3GL|Java|COSMIC|2003|L|589|589|536|2.9|2.9|NA|NA|NA|NA|NA|NA|25|105|162|244|0|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|AppBuilder|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|0|0|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31512|B|NA|2008|'Service Industry'|'Food Processing'|'Business Application'|'Financial transaction process/accountingCustomer billing'|'New Development'|PC|3GL|C++|COSMIC|23|XS|5326|5326|4847|19.8|19.8|NA|26.8|NA|15-Jun-2007|NA|NA|0|1669|877|771|1530|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOLJava|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31999|A|NA|2008|Utilities|'Electricity, Gas, Water'|'Business Application'|'Online analysis and reporting'|'New Development'|PC|4GL|ASP.Net|COSMIC|75|S|245|245|245|1.3|1.3|91|2|NA|15-Nov-2001|NA|NA|NA|NA|NA|NA|NA|245|'Recorded hours on each project/day/week'|4|1.0|1|NA|'85\%'|NA|Yes|'Combined Developed/Purchased'|NA|Java|'Windows NT'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Stand alone'|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32005|B|NA|2008|'Wholesale & Retail'|Advertising|'Business Application'|'Web based fullfilment tool for Advertising'|Enhancement|PC|3GL|Java|COSMIC|746|M2|3922|3922|3922|52.3|52.3|1.6|6.7|NA|22-Nov-2002|NA|NA|NA|NA|NA|NA|NA|3922|'Recorded hours on each project/day/week'|1|5-8|7|NA|NA|NA|Yes|'Developed In-house'|NA|'Visual C++ 5.0'|UNIX|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Run a computer-human interface'|'Database server'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32064|A|NA|2008|'Wholesale & Retail'|'Wholesale & Retail Trade'|'Business Application'|'Logistic or supply planning & control'|Enhancement|MF|3GL|COBOL|COSMIC|90|S|724|724|724|1.6|1.6|14.7|10|1|01-Sep-2007|Planning_Specification_Design_Build_Test_Implement_ProjManagement|NA|NA|NA|NA|NA|NA|724|'Recorded total hours each day or week'|1|3-4|3|NA|'85\%'|Yes|No|NA|NA|ASP.NETC#|Yes|'MS Visual Studio 2005'|'MS Visual Studio 2005'|'MS SQL Server 2005'|No|'MS IIS 6'|'Corporate SMTP Server'|LDAP|'Rapid Application Development (RAD)'|'Process Modelling'|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|'Multi-tier with web public interface'|Yes|'Web/HTML browser'|'Database serverFile &/or print serverHTML/web server'|NA|NA|Yes|Yes|Yes|'MS VisioArgoUML'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
27934|A|NA|2009|Education|'Education Institution'|'Business Application'|'Catalogue/register of things or eventsLogistic or supply planning & control'|Re-development|PC|3GL|C#|COSMIC|483|M2|747|947|947|10.2|13|6.1|12|4|15-May-2003|NA|NA|NA|NA|NA|NA|NA|747|'Recorded hours on each project/day/week'|4|1.0|1|NA|'85\%'|NA|Yes|'Developed In-house'|NA|RPG3|'AS/400 UNIX'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Run a computer-human interface'|'Multi-user legacy application'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
27937|B|NA|2009|Education|'Education InstitutionElectricity, Gas, WaterUniversity'|'Business Application'|'Course management systemDynamic website'|'New Development'|PC|3GL|Java|COSMIC|177|M1|451|451|451|8.8|8.8|5.3|3.2|1|29-Nov-2003|NA|NA|NA|NA|NA|NA|NA|451|'Recorded hours on each project/day/week'|1|3-4|3|NA|NA|NA|Yes|'Developed In-house'|NA|'Ab Initio'|UNIX|NA|NA|UNIX|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|NA|NA|NA|NA|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|143|327|NA|NA|NA|309|NA|NA|NA|73|NA|NA|NA|NA
28020|A|NA|2009|Education|'Education InstitutionElectricity, Gas, WaterIEEE'|'Business Application'|'Content management systemDynamic website'|'New Development'|PC|3GL|Java|COSMIC|118|M1|2018|3638|3638|10.8|19.6|2.1|9|1|08-Dec-2005|Planning_Specification_Design_Build_Test_Implement|30|1200|200|211|326|51|0|'Recorded hours on each project/day/week'|4|9-14|10|6.2|'50\%'|No|Yes|'Developed In-house'|NA|ABAP|'SAP consol'|SAP|SAP|Oracle|No|No|No|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'HandHeld Device'|'Database serverMessaging serverSecurity/authentication'|NA|NA|Yes|No|No|NA|NA|NA|NA|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
30333|A|NA|2009|Insurance|Insurance|'Business Application'|'Online analysis and reporting'|Enhancement|MF|3GL|COBOL|COSMIC|34|S|183|183|148|1.5|1.5|10.4|3|NA|01-Oct-2003|NA|5|NA|33|70|32|8|0|'Recorded work on project tasks each day'|1|3-4|4|2.2|'100\%'|Yes|Yes|'Combined Developed/Purchased'|NA|VB.NET|XP|NA|No|SQL|SQL|No|No|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Run a computer-human interfaceBusiness logic or rule processing'|'Database serverFile &/or print server'|NA|NA|Yes|No|Yes|'Select OMT'|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31448|B|NA|2009|'Professional Services'|'Research & development'|'Business Application'|'Online analysis and reportingSoftware development tool'|'New Development'|PC|3GL|C#|COSMIC|1099|L|3167|3167|3167|64.6|64.6|NA|11|4|31-Dec-2000|NA|NA|NA|NA|NA|NA|NA|3167|'Staff hours (recorded)'|1|NA|NA|NA|NA|Yes|Yes|NA|Midrange|3GL|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|Cfsu|Cfsu|NA|NA|NA|NA|NA|NA|NA|NA|Yes|OMT++|NA|2|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31662|B|NA|2009|'Service Industry'|'Transport & Storage'|'Business Application'|'Workflow support & management'|'New Development'|MR|3GL|Java|COSMIC|86|S|1184|1184|1184|5|5|26.4|3|0|04-Oct-2001|NA|0|91|176|697|169|51|0|'Recorded hours on each project/day/week'|1|3-4|3|1.5|NA|No|No|NA|NA|PHP|Linux|NA|No|MySQL|No|Apache|No|NA|NA|NA|NA|NA|'ISO/IEC FDIS 19761:2002(E)'|'ISO/IEC FDIS 19761:2002(E)'|'Client server'|Yes|'Business logic or rule processingData entry & validationData retrieval & presentationWeb/HTML browser'|'Database serverHTML/web server'|NA|NA|Yes|No|No|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31675|A|NA|2009|'Service Industry'|'Agriculture, Forestry, Fishing, Hunting'|'Business Application'|'Logistic or supply planning & controlStock control & order processingElectronic Data Interchange'|'New Development'|PC|3GL|C#|COSMIC|1958|L|2644|2644|2459|34.8|34.8|NA|15|1|01-May-2000|Planning_Specification_Build_Test|220|381|NA|1457|401|NA|0|'Productive\' time only (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|PC|C++|'Windows NT 4'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'CFFP v2'|'COSMIC FFP v.2'|'Stand alone'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32081|B|NA|2009|'Wholesale & Retail'|'Wholesale & Retail Trade'|'Business Application'|'Customer billing/relationship managementTrading'|Enhancement|PC|3GL|Java|COSMIC|14|XS|13798|13798|12556|29|29|NA|NA|NA|03-Jan-2005|NA|NA|920|1534|4204|4276|1622|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|UNIX/AIX|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
27917|B|NA|2010|Construction|'Building Automation'|'Business Application'|'GUI for ProtocolProtocol Enhancement'|Enhancement|Multi|3GL|C|COSMIC|51|S|1773|1773|1613|80.6|80.6|NA|NA|NA|27-May-2005|NA|NA|0|617|438|467|91|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOL|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
28026|A|NA|2010|Education|'Education InstitutionResearch'|'Business Application'|'Catalogue/register of things or eventsDocument management'|Re-development|PC|3GL|Java|COSMIC|791|M2|6031|6031|3558|14.4|14.4|NA|8|NA|25-Oct-2006|NA|NA|NA|NA|3096|462|NA|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|'Web client'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|NA|NA|NA|NA|NA|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|20|5|0|25|NA|NA|NA|2
30658|A|NA|2010|Manufacturing|Manufacturing|'Business Application'|'Online analysis and reporting'|Enhancement|Multi|4GL|ABAP|COSMIC|5|XXS|784|784|784|4.9|4.9|10.7|3|NA|10-Apr-2009|Planning_Specification_Design_Build_Test_Implement_ProjManagement|52|51|277|253|116|35|0|'Recorded work on project tasks each day'|1|5-8|5|4.3|NA|NA|Yes|'Developed In-house'|NA|Java|Windows|Eclipse|Eclipse|MySQL|NA|'Apache Tomcat 5.5'|NA|'In House Framework (written in Java)JSP'|'Agile DevelopmentPersonal Software Process (PSP)Unified Process'|NA|NA|NA|'COSMIC 2'|'COSMIC 2'|'Multi-tier with web public interface'|Yes|'Web/HTML browser'|Security/authentication|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
30677|B|NA|2010|Manufacturing|Manufacturing|'Business Application'|'Catalogue/register of things or eventsOnline analysis and reporting'|Enhancement|Multi|4GL|ABAP|COSMIC|9|XXS|NA|165|134|NA|0.9|NA|0.86|0.07|01-May-1999|NA|NA|NA|NA|NA|NA|NA|NA|'Staff hours (recorded)'|4|NA|NA|NA|NA|NA|NA|NA|'Pentium II based processorsPowerPC(G3)'|NA|'Windows NT, W2KMacOS9'|NA|NA|Oracle|NA|NA|NA|'Language given as: English, French for WinNT, & French for MacOS9'|NA|NA|NA|NA|COSMIC-FFP|COSMIC-FFP|NA|NA|NA|NA|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
30719|B|NA|2010|Manufacturing|Manufacturing|'Business Application'|'Online analysis and reporting'|Enhancement|Multi|4GL|ABAP|COSMIC|3|XXS|3558|3558|3238|19.1|19.1|NA|NA|NA|01-Jul-2005|NA|NA|0|786|1701|722|29|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOL|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
30879|B|NA|2010|Manufacturing|Manufacturing|'Business Application'|'Catalogue/register of things or events'|Enhancement|Multi|4GL|ABAP|COSMIC|2|XXS|3509|3509|3193|34.1|34.1|NA|NA|NA|31-Mar-2005|NA|NA|0|403|1600|997|193|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOL|Tandem/NSK|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
